,shap_dt,shap_rf,shap_mlp,shap_medio_geral,Descrição
TP_SEXO,0.0470343050306101,0.025746910877001702,0.03655213547231127,0.03644445045997436,Sexo (M=1 / F=0)
TP_COR_RACA_1,0.0606461961859514,0.034852624940190625,0.009386416976337228,0.03496174603415975,TP_COR_RACA_1
TP_ESCOLA_3,0.048787903116702225,0.0288978970468856,0.016754601308016162,0.031480133823867995,Escola: Pública Estadual
TP_FAIXA_ETARIA_3,0.00014736531307887223,0.0030123302922348567,0.06568899200573576,0.022949562537016497,Faixa etária: 18 anos
TP_ESCOLA_2,0.004816438914294568,0.009797979023045338,0.049562859225691855,0.021392425721010588,Escola: Pública Federal
Q002_G,0.026894383164469206,0.017644423582126072,0.011647145618414402,0.01872865078833656,Q002_G
Q006_B,0.022680977970539383,0.019926870704637185,0.008348057096203025,0.0169853019237932,Renda familiar: até R$ 1.320
Q002_F,0.02285641633230684,0.011604749181715827,0.01425980477693392,0.01624032343031886,Mãe: pós-graduação
TP_FAIXA_ETARIA_2,4.230340819043818e-05,0.003630579897290063,0.043709845664114934,0.015794242989865145,Faixa etária: 15 a 17 anos
TP_COR_RACA_3,0.0007798297545772515,0.010944689161714753,0.03344445630667932,0.015056325074323773,Cor/Raça: Parda
Q002_B,0.018017341824052305,0.014679918880962935,0.00524394226201141,0.012647067655675548,Mãe: ensino fundamental incompleto
TP_FAIXA_ETARIA_4,0.0028788799530992605,0.0016964702797653832,0.027740533180269505,0.010771961137711382,Faixa etária: 19 anos
Q002_E,0.018030694614596422,0.0044792432907388765,0.009455608862468984,0.01065518225593476,Mãe: ensino superior completo
Q001_B,0.008640873765256712,0.009770115814226871,0.006133836740959469,0.008181608773481017,Pai: ensino fundamental incompleto
TP_COR_RACA_2,0.0023350453654730333,0.00762337512021165,0.013584560298134105,0.007847660261272928,Cor/Raça: Preta
Q001_F,0.0003179543732070131,0.008742400704025172,0.011762305973388752,0.0069408870168736455,Pai: pós-graduação
Q006_C,0.0069728315339307265,0.005651954949029893,0.006573917841402945,0.006399568108121188,Renda familiar: R$ 1.320 – R$ 1.980
Q001_E,0.0003727934166123277,0.006646599594473176,0.007809504786205159,0.004942965932430221,Pai: ensino superior completo
Q006_E,0.0005774254156228788,0.0007872746473571704,0.012715723067682426,0.004693474376887492,Renda familiar: R$ 2.640 – R$ 3.300
Q002_C,0.0,0.003286380228088874,0.01078624798220329,0.004690876070097388,Mãe: ensino fundamental completo
Q025,0.005395352875265589,0.00517453696858976,0.003435784882786998,0.004668558242214116,Acesso à internet em casa (0=Não / 1=Sim)
Q001_G,0.0001561512939838004,0.0074032558938939945,0.006383327416791258,0.004647578201556351,Q001_G
Q002_D,0.005486475433424546,0.0012546533485018343,0.005748958039099691,0.004163362273675357,Mãe: ensino médio completo
TP_FAIXA_ETARIA_7,0.0003228981935456939,0.0003805032846314052,0.011653117240404996,0.004118839572860698,Faixa etária: 30 a 34 anos
Q006_G,0.0022190550507609334,0.0021655807993151517,0.007837505367224669,0.004074047072433585,Renda familiar: R$ 3.960 – R$ 5.280
Q001_D,0.002300096789503321,0.000313623346167567,0.009439161249100242,0.004017627128257043,Pai: ensino médio completo
Q001_C,0.0006269861328133125,0.0007538292141185993,0.010443322620620065,0.003941379322517326,Pai: ensino fundamental completo
TP_FAIXA_ETARIA_8,9.016149814325278e-05,0.0002720345879292584,0.010498966720937109,0.0036203876023365397,Faixa etária: 35 a 39 anos
TP_FAIXA_ETARIA_11,0.00026653571612749827,0.002604185832580109,0.007074031372461488,0.0033149176403896984,Faixa etária: 50 a 54 anos
TP_FAIXA_ETARIA_5,0.00013187467789577478,0.00036984467265004534,0.009006131394236044,0.003169283581593954,Faixa etária: 20 a 24 anos
Q002_H,0.0018798290869327633,0.0023954300470002323,0.005164893579969847,0.003146717571300948,Q002_H
TP_FAIXA_ETARIA_6,0.000793265063551804,0.000859649978645519,0.007586953882637737,0.003079956308278353,Faixa etária: 25 a 29 anos
Q001_H,0.0030295039828317394,0.002356947400774922,0.0037278805833457235,0.0030381106556507946,Q001_H
Q006_J,0.00032599058611721814,0.0011933437109916348,0.007214392888232137,0.0029112423951136632,Renda familiar: R$ 7.920 – R$ 9.240
Q006_N,0.0,0.0001875800946755823,0.00843341523727276,0.0028736651106494476,Q006_N
Q006_O,5.5903646267314e-05,0.0002416400472996165,0.00774990688627275,0.002682483526613227,Q006_O
Q006_H,0.0002306502608509009,0.0005707887869437416,0.006776924451090526,0.0025261211662950564,Renda familiar: R$ 5.280 – R$ 6.600
Q006_K,2.4234447029630393e-05,0.0006354480663585007,0.0069014968015891935,0.0025203931049924415,Renda familiar: R$ 9.240 – R$ 10.560
Q006_D,0.0019137087502259168,0.0011599828960715947,0.00406231781767908,0.0023786698213255305,Renda familiar: R$ 1.980 – R$ 2.640
Q006_I,0.0011922454248499078,0.0015800320268371845,0.004152676626690952,0.0023083180261260147,Renda familiar: R$ 6.600 – R$ 7.920
TP_FAIXA_ETARIA_13,0.0015207884650636735,0.0021841434967696033,0.0020745630484653938,0.0019264983367662236,Faixa etária: 60 a 64 anos
TP_FAIXA_ETARIA_9,0.0,0.0001697246745150549,0.005483797769922281,0.0018845074814791117,Faixa etária: 40 a 44 anos
Q006_L,0.00014800618605344143,0.0003170259604222916,0.004921494284653978,0.0017955088103765702,Renda familiar: acima de R$ 10.560
Q006_F,6.158319347547385e-05,0.0002753079275043243,0.004871142260064497,0.001736011127014765,Renda familiar: R$ 3.300 – R$ 3.960
TP_FAIXA_ETARIA_12,0.0023965504581823856,0.0017584483214516515,0.0007902166926056655,0.001648405157413234,Faixa etária: 55 a 59 anos
Q006_P,2.0486752779044876e-05,0.000196806420077711,0.0044045508112515236,0.0015406146613694265,Q006_P
Q006_Q,0.0,0.00019801137994716975,0.004200860656602749,0.0014662906788499728,Q006_Q
Q006_M,0.00023718588228167667,0.0003386881056754916,0.003358357538203585,0.0013114105087202513,Q006_M
TP_FAIXA_ETARIA_17,4.0713545597255635e-05,0.0003525616565941075,0.003132533681160543,0.0011752696277839687,TP_FAIXA_ETARIA_17
TP_FAIXA_ETARIA_10,0.0,6.0251575426327216e-05,0.002612652831507721,0.0008909681356446828,Faixa etária: 45 a 49 anos
TP_FAIXA_ETARIA_14,0.0010899529143704233,0.0013244210694582938,0.0,0.0008047913279429058,Faixa etária: 65 anos ou mais
TP_FAIXA_ETARIA_15,8.987520065150214e-05,0.0018026287560372514,0.0,0.0006308346522295845,TP_FAIXA_ETARIA_15
TP_COR_RACA_4,0.0,0.00016246835854826254,0.001244393471938944,0.0004689539434957355,Cor/Raça: Amarela
TP_FAIXA_ETARIA_16,0.00020375923481183683,0.00062721242476376,0.0,0.0002769905531918656,TP_FAIXA_ETARIA_16
TP_COR_RACA_5,0.0,5.9602177503449916e-05,0.0,1.986739250114997e-05,Cor/Raça: Indígena
TP_FAIXA_ETARIA_18,0.0,4.595566673597508e-05,0.0,1.531855557865836e-05,TP_FAIXA_ETARIA_18
TP_FAIXA_ETARIA_19,0.0,2.0598355322225593e-05,0.0,6.866118440741865e-06,TP_FAIXA_ETARIA_19
TP_FAIXA_ETARIA_20,0.0,8.058966021224207e-06,0.0,2.6863220070747357e-06,TP_FAIXA_ETARIA_20
IN_TREINEIRO,0.0,0.0,0.0,0.0,Treineiro (1 = só para treinar / 0 = candidato regular)
